"1","2","1","Example Code","for (i = 0; i < cars.length; i++) {     text += cars[i] + ""<br>"";}"
"2","1","0","Hey hey","<b>you you</b>"
"3","1","1","Nopec","codes {}"
"4","2","0",NULL,NULL
"5","2","1",NULL,NULL
"6","2","0",NULL,NULL
"7","2","0",NULL,NULL
"8","3","0","Testing","<ul><li>bullet</li><li>points</li></ul><ol><li>List</li><li>Items</li></ol>"
"9","2","1",NULL,NULL
"10","2","1",NULL,NULL
"11","2","0","Data Types","<ul><li>integer</li><li>float&nbsp;</li><li>String</li><li>character&nbsp;</li><li>boolean</li></ul>"
"12","2","0","SQL syntax","<div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;"">SELECT * FROM table</div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;"">WHERE ...</div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;"">GROUP BY...</div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;"">HAVING...</div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;""><br></div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;"">INSERT INTO table_name</div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;"">VALUES</div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;""><br></div><div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 12.8px;"">CREATE TABLE ...</div>"
"13","2","1","Javascript sample","var my_date = Date();var my_div = document.getElementById(""my_div"");my_div.innHTML = my_date;"
"14","2","0","new card","<ul><li>b1</li><li>b2</li></ul>"
"15","13","0",NULL,NULL
"16","47","0",NULL,NULL
"17","30","0","3,4","<div>//CSS</div><div>h1{</div><div>&nbsp; color:blue;</div><div>&nbsp; text-align: center;</div><div>&nbsp; }</div><div>//create hyperlink with text description</div><div>&lt;a href=""http://www.asu.edu/)""&gt;ASU homepage&lt;/a&gt;</div>"
"18","5","0","Hello","asdf"
"19","41","0",NULL,NULL
"20","13","0",,"hi"
"21","43","0","new card","<ul><li>HTML- HyperText Markup Language- &lt;html&gt; &lt;head&gt; &lt;body&gt; -define the content of webpages</li><li>HTML5 - includes new elements &lt;header&gt; &lt;footer&gt; &lt;article&gt; &lt;section&gt; &lt;svg&gt;&nbsp;</li><li>CSS- Cascading Style Sheets- defines the layout of a webpage</li><li>Javascript- interpreted language executed as the page loads- defines the functionality of a web page</li></ul>"
"22","26","0",NULL,NULL
"23","35","0",NULL,NULL
"24","36","0",,"Boats N Hoes"
"25","53","0","Ayy","Lmao"
"26","26","0","Hi everybody",
"27","22","1","Image","<img src=""url"" alt=""some_text"" style=""width:width;height:height;"">"
"28","22","0",NULL,NULL
"29","63","0","HTML/HTML5","HTML: HyperText Markup Language<div><br><div>HTML5: newer &amp; modified functions</div></div>"
"30","13","0",,"html stuff<div><br></div>"
"31","13","0",,"css stuff<div><br></div>"
"32","46","1",,"rm -rf"
